subject_id,person,illuminant,wb_cell,condition_code,include_in_eval,path_noflash,path_flash,path_face_landmarks,zip_path,zip_stem
Anjana_D65_C3,Anjana,D65,C,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Anjana-D65-C3Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Anjana-D65-C3Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Anjana-D65-C3Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Anjana P3/D65/Anjana-D65-C3Torch.zip,Anjana-D65-C3Torch
Anjana_D65_D3,Anjana,D65,D,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Anjana-D65-D3Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Anjana-D65-D3Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Anjana-D65-D3Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Anjana P3/D65/Anjana-D65-D3Torch.zip,Anjana-D65-D3Torch
Anjana_D65_E4,Anjana,D65,E,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Anjana-D65-E4Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Anjana-D65-E4Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Anjana-D65-E4Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Anjana P3/D65/Anjana-D65-E4Torch.zip,Anjana-D65-E4Torch
Anjana_D65_E5,Anjana,D65,E,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Anjana-D65-E5Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Anjana-D65-E5Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Anjana-D65-E5Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Anjana P3/D65/Anjana-D65-E5Torch.zip,Anjana-D65-E5Torch
Lihn_D65_C1,Lihn,D65,C,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LihnD65-C1Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LihnD65-C1Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LihnD65-C1Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Lihn P1/D65/LihnD65-C1Torch.zip,LihnD65-C1Torch
Lihn_D65_D1,Lihn,D65,D,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-D1Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-D1Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-D1Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Lihn P1/D65/Linh-D65-D1Torch.zip,Linh-D65-D1Torch
Lihn_D65_D3,Lihn,D65,D,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-D3Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-D3Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-D3Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Lihn P1/D65/Linh-D65-D3Torch.zip,Linh-D65-D3Torch
Lihn_D65_E1,Lihn,D65,E,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-E1Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-E1Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-E1Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Lihn P1/D65/Linh-D65-E1Torch.zip,Linh-D65-E1Torch
Lihn_D65_E2,Lihn,D65,E,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-E2Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-E2Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-E2Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Lihn P1/D65/Linh-D65-E2Torch.zip,Linh-D65-E2Torch
Lihn_D65_E4,Lihn,D65,E,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-E4Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-E4Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh-D65-E4Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Lihn P1/D65/Linh-D65-E4Torch.zip,Linh-D65-E4Torch
